,2016-02-01_ents,2016-02-01_count,2016-02-02_ents,2016-02-02_count,2016-02-03_ents,2016-02-03_count,2016-02-04_ents,2016-02-04_count,2016-02-05_ents,2016-02-05_count,2016-02-06_ents,2016-02-06_count,2016-02-07_ents,2016-02-07_count,2016-02-08_ents,2016-02-08_count,2016-02-09_ents,2016-02-09_count,2016-02-10_ents,2016-02-10_count,2016-02-11_ents,2016-02-11_count,2016-02-12_ents,2016-02-12_count,2016-02-13_ents,2016-02-13_count,2016-02-14_ents,2016-02-14_count,2016-02-15_ents,2016-02-15_count,2016-02-16_ents,2016-02-16_count,2016-02-17_ents,2016-02-17_count,2016-02-18_ents,2016-02-18_count,2016-02-19_ents,2016-02-19_count,2016-02-20_ents,2016-02-20_count,2016-02-21_ents,2016-02-21_count,2016-02-22_ents,2016-02-22_count,2016-02-23_ents,2016-02-23_count,2016-02-24_ents,2016-02-24_count,2016-02-25_ents,2016-02-25_count,2016-02-26_ents,2016-02-26_count,2016-02-27_ents,2016-02-27_count,2016-02-28_ents,2016-02-28_count,2016-02-29_ents,2016-02-29_count
0,globalist,12,santorum,24,globalist,10,globalist,13,globalist,3,globalist,6,pizza,12,rapists,13,globalist,11,blm,35,blm,29,globalist,30,blm,17,george bush,19,soros,21,globalist,8,blm,22,blm,24,blm,14,pizza,14,rapists,31,blm,29,rapists,36,blm,103,blm,93,blm,34,blm,29,blm,69,blm,214
1,soros,11,globalist,12,santorum,9,santorum,7,black lives matter,2,santorum,6,blm,11,blm,10,globalists,9,globalists,16,globalist,17,blm,18,globalist,14,rapists,11,blm,19,blm,7,rapists,16,globalist,19,globalist,13,globalist,14,blm,22,globalists,18,blm,36,rapists,27,rapists,20,globalist,27,benghazi,21,globalists,23,black lives matter,95
2,blm,6,globalists,7,civil war,5,soros,4,rapists,2,blm,4,rapists,3,globalist,8,rapists,4,rapists,15,globalists,11,globalists,9,black lives matter,10,blm,10,globalists,14,cheese,6,globalist,11,rapists,12,rapists,10,rapists,12,globalist,17,rapists,13,globalist,18,globalist,21,black lives matter,20,rapists,25,globalist,16,globalist,18,civil war,24
3,santorum,4,satan,2,blm,4,blm,4,false flag,2,bronies,3,illuminati,3,globalists,7,blm,3,globalist,10,civil war,8,rapists,8,civil war,2,globalist,9,george soros,14,rapists,6,black lives matter,9,civil war,8,pizza,7,globalists,10,globalists,8,globalist,12,globalists,17,globalists,18,soros,16,globalists,15,rapists,15,jeff sessions,18,jeff sessions,22
4,rapists,4,persuader filter,2,soros,4,benghazi,3,globalists,1,pagan holiday,2,pedophile,2,black lives matter,6,pedophilia,3,black lives matter,5,rapists,6,black lives matter,4,rapists,2,civil war,7,globalist,6,gwb,5,civil war,9,black lives matter,8,soros,6,civil war,9,mcdonalds,5,black lives matter,10,black lives matter,12,steak dinner,18,globalist,12,george bush,9,civil war,8,benghazi,14,globalists,19
5,civil war,3,civil war,2,pizza,3,globalists,3,secret service,1,benghazi,2,civil war,2,george soros,2,pizza,2,marxist,3,pizza,5,snake,2,pizza,2,gwb,4,black lives matter,6,black lives matter,3,gwb,7,george soros,4,globalists,6,blm,8,jeff sessions,5,civil war,7,illuminati,8,black lives matter,17,globalists,10,pizza,8,globalists,8,the emails,9,civil rights,13
6,george soros,3,george bush,2,globalists,3,rapists,2,hillary email,1,rapists,2,globalists,2,george p,2,sexual violence,2,race war,2,corprate,5,her emails,1,gwb,1,globalists,4,civil war,5,globalists,3,george soros,6,pedophiles,4,black lives matter,4,black lives matter,5,pizza,5,civil rights,5,civil war,7,civil war,11,george soros,8,human trafficking,7,child sex,6,rapists,7,rapists,12
7,leninist,2,rapists,2,clinton cash,2,culture war,1,molotov cocktails,1,homosexual,2,black lives matter,2,berniebro circle,2,jeff sessions,2,false flag,2,open borders,3,holy war,1,gops,1,pedophile,2,gwb,5,george bush,2,child abuse,4,gwb,4,civil war,4,pizzas,4,george bush,4,human rights,4,email server,5,george soros,7,pizza,7,gaddafi,6,illuminati,5,pizza,7,george soros,11
8,supremacist,2,black rights,1,two party,1,email gate,1,hillary spew,1,black lives matter,2,religion race,2,two hours,1,civil war,1,superpac,2,soros,3,burritos,1,mcdonalds,1,satan,2,rapists,3,civil war,2,human rights,3,globalists,3,george bush,3,jeff sessions,4,benghazi,4,satan,4,pizza,4,two party,7,knife party,4,civil war,6,santorum,5,black lives matter,7,globalist,11
9,her tweets,2,pedophile,1,rape culture,1,rubios rich,1,jihadist,1,the rich,2,globalist,2,simulated war,1,george norcross,1,civil war,2,black lives matter,3,george was,1,the emails,1,open borders,2,gaslighting,2,sexists,2,george bush,3,benghazi,3,gwb,3,satanic,4,marc rich,3,pizza,4,pedophiles,4,pizza,6,benghazi,4,soros,6,pizza,4,civil war,6,benghazi,8
