,2016-08-01_ents,2016-08-01_count,2016-08-02_ents,2016-08-02_count,2016-08-03_ents,2016-08-03_count,2016-08-04_ents,2016-08-04_count,2016-08-05_ents,2016-08-05_count,2016-08-06_ents,2016-08-06_count,2016-08-07_ents,2016-08-07_count,2016-08-08_ents,2016-08-08_count,2016-08-09_ents,2016-08-09_count,2016-08-10_ents,2016-08-10_count,2016-08-11_ents,2016-08-11_count,2016-08-12_ents,2016-08-12_count,2016-08-13_ents,2016-08-13_count,2016-08-14_ents,2016-08-14_count,2016-08-15_ents,2016-08-15_count,2016-08-16_ents,2016-08-16_count,2016-08-17_ents,2016-08-17_count,2016-08-18_ents,2016-08-18_count,2016-08-19_ents,2016-08-19_count,2016-08-20_ents,2016-08-20_count,2016-08-21_ents,2016-08-21_count,2016-08-22_ents,2016-08-22_count,2016-08-23_ents,2016-08-23_count,2016-08-24_ents,2016-08-24_count,2016-08-25_ents,2016-08-25_count,2016-08-26_ents,2016-08-26_count,2016-08-27_ents,2016-08-27_count,2016-08-28_ents,2016-08-28_count,2016-08-29_ents,2016-08-29_count,2016-08-30_ents,2016-08-30_count,2016-08-31_ents,2016-08-31_count
0,globalist,58,globalist,104,globalist,85,globalist,73,blm,130,globalist,85,globalist,81,blm,59,globalist,80,seth rich,308,soros,102,seth rich,684,rapist rape,2563,soros,478,blm,811,soros,315,soros,338,soros,266,soros,118,soros,133,soros,93,soros,126,soros,117,soros,125,soros,72,blm,65,blm,69,blm,88,blm,87,blm,153,soros,1749
1,benghazi,58,blm,62,blm,53,blm,64,globalist,81,blm,65,blm,50,globalist,56,blm,51,globalist,77,seth rich,96,rapist rape,560,seth rich,208,blm,340,soros,351,george soros,197,blm,108,george soros,116,globalist,41,blm,76,blm,63,blm,61,blm,83,blm,60,blm,69,soros,55,soros,59,soros,58,soros,73,soros,98,globalist,60
2,the emails,49,benghazi,50,globalists,45,globalists,45,globalists,44,globalists,46,globalists,42,soros,34,benghazi,50,blm,60,rapist,95,soros,55,guccifer,72,george soros,300,benghazi,157,blm,173,george soros,81,globalist,68,blm,39,globalist,36,globalist,32,globalist,56,clinton emails,47,globalist,24,globalist,58,globalist,49,globalist,31,globalist,41,globalist,36,globalist,63,blm,57
3,blm,45,globalists,45,benghazi,42,soros,37,soros,35,soros,31,civil war,30,globalists,30,globalists,36,soros,39,blm,50,globalist,49,soros,60,seth rich,61,seth rich,128,email leak,151,globalist,47,blm,67,george soros,32,george soros,24,globalists,20,george soros,24,the emails,39,george soros,23,globalists,28,seth rich,33,black lives matter,21,globalists,25,globalists,34,globalists,47,globalists,52
4,soros,43,the emails,30,pizza,25,benghazi,30,black lives matter,30,benghazi,30,pizza,24,benghazi,28,civil war,26,guccifer,38,globalist,34,juanita broaderick,47,clinton emails,59,globalist,54,george soros,59,seth rich,42,globalists,38,globalists,41,benghazi,27,globalists,19,seth rich,19,seth rich,22,picklegate,37,benghazi,19,george soros,22,the emails,27,benghazi,19,black lives matter,21,george soros,19,benghazi,39,civil war,45
5,globalists,35,civil war,28,the emails,23,civil war,24,benghazi,21,the emails,18,soros,21,secret service,22,soros,24,globalists,30,benghazi,29,george soros,38,killing murder,32,black lives matter,43,terror terrorist,53,globalist,33,civil war,23,benghazi,16,rapists,22,benghazi,14,george soros,18,benghazi,21,george soros,29,globalists,16,seth rich,21,globalists,20,seth rich,14,seth rich,19,black lives matter,18,black lives matter,39,george soros,31
6,dnc emails,25,soros,20,soros,21,george soros,16,the emails,19,civil war,17,the emails,18,pizza,22,seth rich,14,the emails,26,rape rape,27,cleanse cleansing,34,globalist,32,race war,35,globalist,51,globalists,24,pedophile,18,civil war,12,globalists,21,black lives matter,13,civil war,15,clinton emails,21,benghazi,24,clinton emails,15,benghazi,17,benghazi,19,george soros,14,george soros,12,civil war,15,the emails,26,the emails,24
7,clinton cash,25,rapists,20,dnc emails,13,black lives matter,16,civil war,17,pedophile,15,dnc emails,15,civil war,17,the emails,13,clinton emails,24,the emails,21,globalists,29,rapist,28,globalists,29,rapist,41,race war,23,seth rich,18,pizza,10,the emails,13,seth rich,13,rapists,13,globalists,21,globalist,24,the emails,14,civil war,15,george soros,17,illuminati,13,rapists,10,email server,14,george soros,26,benghazi,22
8,civil war,17,pedophile,19,civil war,13,pizza,13,satan,14,black lives matter,15,clinton cash,14,rapists,15,her emails,12,civil war,19,scientologist,17,clinton rapist,28,globalists,25,the emails,18,black lives matter,27,civil war,20,the emails,18,seth rich,10,civil war,13,the emails,12,benghazi,11,clinton email,13,seth rich,22,seth rich,14,gamergate,14,her emails,13,pedophile,13,illuminati,8,seth rich,12,civil war,22,black lives matter,22
9,satan,14,black lives matter,17,pedophile,12,clinton cash,12,her emails,13,clinton cash,14,benghazi,13,the emails,14,rapists,10,benghazi,17,civil war,16,the emails,26,blm,25,benghazi,18,globalists,27,open society,19,black lives matter,14,black lives matter,9,seth rich,12,pedophiles,10,dnc emails,11,pizza,12,these emails,20,gamergate,12,rapists,11,civil war,12,rapists,13,civil war,8,rapists,12,seth rich,20,rapists,18
10,these emails,14,clinton cash,17,satan,10,the emails,11,email server,12,ebola,12,secret service,12,george soros,13,satan,9,clinton cash,16,globalists,14,benghazi,26,george soros,19,civil war,17,race war,26,benghazi,18,clinton cash,11,the emails,8,black lives matter,10,civil war,9,pizza,9,illuminati,12,clinton cash,15,civil war,12,the emails,10,supremacist,11,globalists,12,benghazi,7,pedo,11,these emails,15,pedophile,16
11,clinton emails,13,those emails,14,child rapist,9,secret service,9,clinton cash,12,her emails,12,rapists,9,george p,11,george soros,9,pizza,14,george soros,14,blm,24,the emails,15,open society,17,civil war,21,black lives matter,17,benghazi,10,pedophile,7,george bush,8,pedophilia,9,black lives matter,7,the emails,11,civil war,12,picklegate,9,guccifer,9,illuminati,11,the emails,11,dnc emails,6,open society,11,email server,14,pedophilia,11
12,george soros,13,pedophiles,10,clinton emails,8,zionist,9,ndaa,9,seth rich,11,george soros,8,clinton cash,8,scientologist,8,her emails,13,rapist rape,13,civil war,21,rapists,15,clinton cash,12,rapists,14,george carlin,11,open society,10,rapists,6,pedophilia,6,dnc emails,7,satan,6,civil war,11,globalists,11,rapists,9,peepee,8,rapists,9,satan,9,clinton cash,5,illuminati,9,pedophile,12,pedophiles,10
