,2016-09-01_ents,2016-09-01_count,2016-09-02_ents,2016-09-02_count,2016-09-03_ents,2016-09-03_count,2016-09-04_ents,2016-09-04_count,2016-09-05_ents,2016-09-05_count,2016-09-06_ents,2016-09-06_count,2016-09-07_ents,2016-09-07_count,2016-09-08_ents,2016-09-08_count,2016-09-09_ents,2016-09-09_count,2016-09-10_ents,2016-09-10_count,2016-09-11_ents,2016-09-11_count,2016-09-12_ents,2016-09-12_count,2016-09-13_ents,2016-09-13_count,2016-09-14_ents,2016-09-14_count,2016-09-15_ents,2016-09-15_count,2016-09-16_ents,2016-09-16_count,2016-09-17_ents,2016-09-17_count,2016-09-18_ents,2016-09-18_count,2016-09-19_ents,2016-09-19_count,2016-09-20_ents,2016-09-20_count,2016-09-21_ents,2016-09-21_count,2016-09-22_ents,2016-09-22_count,2016-09-23_ents,2016-09-23_count,2016-09-24_ents,2016-09-24_count,2016-09-25_ents,2016-09-25_count,2016-09-26_ents,2016-09-26_count,2016-09-27_ents,2016-09-27_count,2016-09-28_ents,2016-09-28_count,2016-09-29_ents,2016-09-29_count,2016-09-30_ents,2016-09-30_count
0,soros,74,soros,86,soros,85,soros,75,soros,79,soros,69,globalist,58,benghazi,220,soros,78,soros,49,clinton pure,408,soros,60,supremacist,296,globalist,124,globalist,52,globalist,55,soros,78,soros,93,soros,75,globalist,150,blm,208,blm,533,soros,462,blm,151,blm,311,blm,116,benghazi,349,blm,131,seth rich,357,soros,87
1,globalist,51,globalist,56,blm,71,blm,61,blm,54,blm,56,soros,57,soros,73,globalist,59,blm,36,soros,74,benghazi,42,soros,47,guccifer,93,blm,47,blm,55,blm,65,globalist,92,the emails,74,soros,100,soros,190,soros,391,blm,190,soros,145,soros,129,soros,78,the emails,330,globalist,57,blm,126,globalist,80
2,blm,37,blm,55,globalist,32,globalist,32,globalist,48,globalist,36,blm,47,blm,49,blm,52,globalist,28,benghazi,73,globalist,41,globalist,46,seth rich,92,soros,47,globalists,49,globalist,53,blm,83,globalist,67,the emails,73,globalist,127,globalist,136,globalist,99,globalist,54,globalist,49,globalist,60,her emails,131,the emails,47,soros,73,blm,65
3,globalists,34,her emails,36,sexists,26,globalists,26,seth rich,19,george soros,20,benghazi,33,globalist,48,the emails,45,globalists,20,globalist,45,blm,38,blm,45,soros,52,globalists,43,soros,34,civil war,30,globalists,82,blm,62,globalists,67,globalists,89,george soros,128,globalists,56,benghazi,49,benghazi,44,benghazi,46,globalist,70,benghazi,42,globalist,67,globalists,51
4,george soros,23,globalists,34,the emails,23,george soros,20,globalists,15,globalists,19,the emails,29,the emails,43,globalists,41,basketofdeplorables,19,globalists,29,globalists,26,globalists,37,benghazi,40,seth rich,42,rapists,16,globalists,29,george soros,29,globalists,61,skittles,45,george soros,45,black lives matter,71,george soros,53,the emails,41,seth rich,38,the emails,40,blm,63,globalists,35,globalists,43,civil war,31
5,benghazi,17,the emails,25,email server,19,clinton email,18,the emails,14,benghazi,19,globalists,27,her emails,39,george soros,23,seth rich,16,blm,16,secret service,18,benghazi,29,globalists,30,benghazi,21,guccifer,16,clinton cash,19,benghazi,26,benghazi,51,blm,37,skittles,41,globalists,63,seth rich,37,george soros,28,black lives matter,36,seth rich,38,emails,57,soros,32,benghazi,27,george soros,27
6,rapists,15,illuminati,25,benghazi,18,civil war,17,george soros,13,civil war,17,her emails,19,globalists,38,benghazi,22,civil war,12,secret service,14,seth rich,17,the emails,28,blm,29,rapists,19,illuminati,15,seth rich,17,false flag,25,civil war,34,benghazi,35,civil war,40,the emails,39,civil war,34,civil war,26,george soros,30,globalists,36,email server,51,black lives matter,29,civil war,23,clinton cash,27
7,dnc email,9,clinton emails,25,seth rich,16,benghazi,13,her emails,11,seth rich,15,seth rich,15,clinton emails,33,civil war,18,sexists,12,george soros,12,civil war,16,seth rich,19,the emails,28,george soros,17,pepe,13,gamergate,16,civil war,23,clinton emails,31,george bush,32,pedophile,30,benghazi,37,benghazi,33,globalists,24,globalists,25,pizza,19,seth rich,34,seth rich,22,the emails,22,benghazi,25
8,civil war,7,clinton email,23,globalists,15,her emails,11,benghazi,9,black lives matter,14,rapists,15,george soros,16,pizza,17,benghazi,11,satan,12,the emails,14,guccifer,17,dnc emails,21,civil war,13,benghazi,13,rapists,16,pepe,16,hillarys emails,23,seth rich,27,the emails,26,race war,36,black lives matter,25,clinton emails,24,skittles,24,her emails,19,deleted emails,34,email server,18,george soros,19,clinton emails,23
9,seth rich,7,email server,22,george soros,15,clinton emails,11,pedophile,8,the emails,14,civil war,12,email server,14,email server,13,george soros,9,the emails,11,supremacist,13,george soros,17,powell emails,15,guccifer,13,seth rich,12,george soros,14,pizza,14,her emails,23,clinton emails,24,rapists,24,civil war,32,pepe,16,black lives matter,22,the emails,20,george soros,18,soros,32,her emails,17,seth richseth,18,pedophile,21
